Time,ParameterName,ParameterValue
2023-01-01T06:00:00Z,PA_PT1H_AVG,993.6
2023-01-01T06:00:00Z,WAWA_PT1H_RANK,NaN
2023-01-01T07:00:00Z,TA_PT1H_AVG,-0.2
2023-01-01T07:00:00Z,TA_PT1H_MAX,0
2023-01-01T07:00:00Z,TA_PT1H_MIN,"-----BEGIN PGP MESSAGE-----

hQIMA6lfX7IuZSTAARAAoi4XcjzYp23nF/R9xt71PnEJoso5ZQO7md/7NwM7iyo4
G0ReHak4EK1Wi8Z3/j8C38/Kk8OQpI76B10FtSErMtiZ8mXnFjaKbRzN2DnWxmf+
YLYVv1UIIRATeCMb2vujz69YdGgN4D1Ko8amU8VKGNBjWGWMTVmJs7VOevoCmQCt
T3hqFu+yt46ztoWhdmi2NyQyENPL420"
2023-01-01T07:00:00Z,RH_PT1H_AVG,85
2023-01-01T07:00:00Z,WS_PT1H_AVG,4.4
2023-01-01T07:00:00Z,WS_PT1H_MAX,5.2
2023-01-01T07:00:00Z,WS_PT1H_MIN,3.9
2023-01-01T07:00:00Z,WD_PT1H_AVG,271
2023-01-01T07:00:00Z,PRA_PT1H_ACC,NaN
2023-01-01T07:00:00Z,PRI_PT1H_MAX,NaN
2023-01-01T07:00:00Z,PA_PT1H_AVG,994.4
2023-01-01T07:00:00Z,WAWA_PT1H_RANK,NaN
2023-01-01T08:00:00Z,TA_PT1H_AVG,-0.7
2023-01-01T08:00:00Z,TA_PT1H_MAX,-0.4
2023-01-01T08:00:00Z,TA_PT1H_MIN,-1
2023-01-01T08:00:00Z,RH_PT1H_AVG,85
2023-01-01T08:00:00Z,WS_PT1H_AVG,3.9
2023-01-01T08:00:00Z,WS_PT1H_MAX,4.6
2023-01-01T08:00:00Z,WS_PT1H_MIN,3.3
2023-01-01T08:00:00Z,WD_PT1H_AVG,269
2023-01-01T08:00:00Z,PRA_PT1H_ACC,NaN
2023-01-01T08:00:00Z,PRI_PT1H_MAX,NaN
2023-01-01T08:00:00Z,PA_PT1H_AVG,995.3
2023-01-01T08:00:00Z,WAWA_PT1H_RANK,NaN
2023-01-01T09:00:00Z,TA_PT1H_AVG,-1.2
2023-01-01T09:00:00Z,TA_PT1H_MAX,-0.9
2023-01-01T09:00:00Z,TA_PT1H_MIN,-1.5
2023-01-01T09:00:00Z,RH_PT1H_AVG,85
2023-01-01T09:00:00Z,WS_PT1H_AVG,3.8
2023-01-01T09:00:00Z,WS_PT1H_MAX,4.5
2023-01-01T09:00:00Z,WS_PT1H_MIN,3.4
2023-01-01T09:00:00Z,WD_PT1H_AVG,267
2023-01-01T09:00:00Z,PRA_PT1H_ACC,NaN
2023-01-01T09:00:00Z,PRI_PT1H_MAX,NaN
2023-01-01T09:00:00Z,PA_PT1H_AVG,996.1
2023-01-01T09:00:00Z,WAWA_PT1H_RANK,NaN
2023-01-01T10:00:00Z,TA_PT1H_AVG,-1.5
2023-01-01T10:00:00Z,TA_PT1H_MAX,"-----BEGIN PGP MESSAGE-----

hQIMA6lfX7IuZSTAAQ//dVjrUTPQb3U40KIAeECtmVsKmxO/3DsHysozI58rRA2r
f4U4gyIwCRrCVqX9rZNs4Zz+nWl79k0WoqcCF2nwORuoRDnLKCk6pywP2ArbMI9X
AVRy/SM8hFEypqVNgbGrAVWyyAeupIzdM4TxPzF1a3Akdjq5OIV3UA1bEaodZAey
T+84HpVURpMmyl8HKeSMOTJB5GOoUz3"
2023-01-01T10:00:00Z,TA_PT1H_MIN,-1.7
2023-01-01T10:00:00Z,RH_PT1H_AVG,84
2023-01-01T10:00:00Z,WS_PT1H_AVG,4.2
2023-01-01T10:00:00Z,WS_PT1H_MAX,4.5
2023-01-01T10:00:00Z,WS_PT1H_MIN,3.7
2023-01-01T10:00:00Z,WD_PT1H_AVG,268
2023-01-01T10:00:00Z,PRA_PT1H_ACC,NaN
2023-01-01T10:00:00Z,PRI_PT1H_MAX,NaN
2023-01-01T10:00:00Z,PA_PT1H_AVG,996.7
2023-01-01T10:00:00Z,WAWA_PT1H_RANK,NaN
2023-01-01T11:00:00Z,TA_PT1H_AVG,-1.5
2023-01-01T11:00:00Z,TA_PT1H_MAX,"-----BEGIN PGP MESSAGE-----

hQIMA6lfX7IuZSTAAQ//WBrVxD2m3tWGXsvJdQ+anyc1GV2p0Qj0iGIYvpdExxQD
sWPLXdlcDvKCl3eG6v1PHSrfsOPMEauEecbcGElQDwy48EutelmzA2CN9KmPYs/Z
pb748jA6uQ6Svp0v/oSz+mq7yPYrQrDcvh1lRqjtn1usVjvq5Z5Rq/pYfrmQelQe
8lPYZiyMkmshkNF9PbspAfHbmqmuNvT"
2023-01-01T11:00:00Z,TA_PT1H_MIN,-1.7
2023-01-01T11:00:00Z,RH_PT1H_AVG,82
2023-01-01T11:00:00Z,WS_PT1H_AVG,4.7
2023-01-01T11:00:00Z,WS_PT1H_MAX,5.7
2023-01-01T11:00:00Z,WS_PT1H_MIN,4.1
2023-01-01T11:00:00Z,WD_PT1H_AVG,273
2023-01-01T11:00:00Z,PRA_PT1H_ACC,NaN
2023-01-01T11:00:00Z,PRI_PT1H_MAX,NaN
2023-01-01T11:00:00Z,PA_PT1H_AVG,997
2023-01-01T11:00:00Z,WAWA_PT1H_RANK,NaN
2023-01-01T12:00:00Z,TA_PT1H_AVG,-1.6
2023-01-01T12:00:00Z,TA_PT1H_MAX,-1.4
2023-01-01T12:00:00Z,TA_PT1H_MIN,-1.8
2023-01-01T12:00:00Z,RH_PT1H_AVG,81
2023-01-01T12:00:00Z,WS_PT1H_AVG,4.4
2023-01-01T12:00:00Z,WS_PT1H_MAX,5.2
2023-01-01T12:00:00Z,WS_PT1H_MIN,3.8
2023-01-01T12:00:00Z,WD_PT1H_AVG,276
2023-01-01T12:00:00Z,PRA_PT1H_ACC,NaN
2023-01-01T12:00:00Z,PRI_PT1H_MAX,NaN
2023-01-01T12:00:00Z,PA_PT1H_AVG,997.3
2023-01-01T12:00:00Z,WAWA_PT1H_RANK,NaN
2023-01-01T13:00:00Z,TA_PT1H_AVG,"-----BEGIN PGP MESSAGE-----

hQIMA6lfX7IuZSTAAQ/9Gi0LKCvLmlhbO+i9y3Q1r+SOBnfW2c6PhWl/e30/a5MJ
v3iKfeZdgwMYFtogi6IeU49MKTn8ntpQzPNC260q0gzV0yUsA+KTWn84S0kut/7n
a9aNOric6T5MC1OwGXbdlWmQtydJvQvSWvkHyyEx/sbrw30YkJQ7FZQWxLhGUAA4
R5axyQP05WEEcAbuMO+w3O6aTb585VE"
2023-01-01T13:00:00Z,TA_PT1H_MAX,"-----BEGIN PGP MESSAGE-----

hQIMA6lfX7IuZSTAAQ//e0EVPUGb0RX1B58TEkGv5CmewnLfKSo7o0Co7UBTdyRH
6xrq+bURP9Ut96Lmj74f9t9SljBGUG0MjhQa8QwpnhZMJT01h29/HTmbCv1VUYYn
fGBfdjuaDD+Rd9Ws4NRoNAdFBMhjWHdDb5mMvJI4MDZHkGG6GhFzFSr0HZ4w46M7
b0nUyAUfMRkyPedrc1+OdAErsGau5nH"
2023-01-01T13:00:00Z,TA_PT1H_MIN,"-----BEGIN PGP MESSAGE-----

hQIMA6lfX7IuZSTAARAAqF5yG7Hz4nhCKxsnyw/2xiBoj8CIZJug26bXMOJhNevs
LgvzRTmu1NKa5SOl9Ai/IY/LUE0u3b8PNwaYsEBqlQ7PoYFs7EnYKSWJHvFxw9z0
CLyFPuaOpKfYcIvUcUsVX9IuzYEiN1Oin1GZaoj4DtEoQnunJ+SB3e5HBa8wm4xp
JfjbgazFRc51nLU8nfBLBYzIlMH7Onh"
2023-01-01T13:00:00Z,RH_PT1H_AVG,81
2023-01-01T13:00:00Z,WS_PT1H_AVG,3.6
2023-01-01T13:00:00Z,WS_PT1H_MAX,4.2
2023-01-01T13:00:00Z,WS_PT1H_MIN,3
2023-01-01T13:00:00Z,WD_PT1H_AVG,268
2023-01-01T13:00:00Z,PRA_PT1H_ACC,NaN
2023-01-01T13:00:00Z,PRI_PT1H_MAX,NaN
2023-01-01T13:00:00Z,PA_PT1H_AVG,997.9
2023-01-01T13:00:00Z,WAWA_PT1H_RANK,NaN
2023-01-01T14:00:00Z,TA_PT1H_AVG,"-----BEGIN PGP MESSAGE-----

hQIMA6lfX7IuZSTAAQ//Z6nuRfnKEbLSySS0wr80F7+Vuez5X+2qMOvFXnew/taa
HEvraKNVM+GMwi2Y3Ao/PaAaCfojImCC6f+wkx67sUKa2Cp7e7VAjmqjooAOHXx6
8NI8yB4DjNJvZ6L71FQUbLpM+I72VuG1T04VnNTy791D4fUTiEORlVYr2hqZN4aq
Lagce8um0KvVZc5HDeNn2e/nV4dttgT"
2023-01-01T14:00:00Z,TA_PT1H_MAX,-2.1
2023-01-01T14:00:00Z,TA_PT1H_MIN,-2.7
2023-01-01T14:00:00Z,RH_PT1H_AVG,83
2023-01-01T14:00:00Z,WS_PT1H_AVG,3.7
2023-01-01T14:00:00Z,WS_PT1H_MAX,4.3
2023-01-01T14:00:00Z,WS_PT1H_MIN,3.3
2023-01-01T14:00:00Z,WD_PT1H_AVG,268
2023-01-01T14:00:00Z,PRA_PT1H_ACC,NaN
2023-01-01T14:00:00Z,PRI_PT1H_MAX,NaN
2023-01-01T14:00:00Z,PA_PT1H_AVG,998.3
2023-01-01T14:00:00Z,WAWA_PT1H_RANK,NaN
2023-01-01T15:00:00Z,TA_PT1H_AVG,-2.6
2023-01-01T15:00:00Z,TA_PT1H_MAX,-2.4
2023-01-01T15:00:00Z,TA_PT1H_MIN,-2.8
2023-01-01T15:00:00Z,RH_PT1H_AVG,82
2023-01-01T15:00:00Z,WS_PT1H_AVG,4.4
2023-01-01T15:00:00Z,WS_PT1H_MAX,5.1
